movieId,title
1,Toy Story (1995)
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
47,Seven (a.k.a. Se7en) (1995)
50,"Usual Suspects, The (1995)"
110,Braveheart (1995)
150,Apollo 13 (1995)
260,Star Wars: Episode IV - A New Hope (1977)
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
296,Pulp Fiction (1994)
318,"Shawshank Redemption, The (1994)"
356,Forrest Gump (1994)
364,"Lion King, The (1994)"
377,Speed (1994)
380,True Lies (1994)
457,"Fugitive, The (1993)"
480,Jurassic Park (1993)
527,Schindler's List (1993)
541,Blade Runner (1982)
588,Aladdin (1992)
589,Terminator 2: Judgment Day (1991)
592,Batman (1989)
593,"Silence of the Lambs, The (1991)"
608,Fargo (1996)
648,Mission: Impossible (1996)
780,Independence Day (a.k.a. ID4) (1996)
858,"Godfather, The (1972)"
924,2001: A Space Odyssey (1968)
1036,Die Hard (1988)
1089,Reservoir Dogs (1992)
1097,E.T. the Extra-Terrestrial (1982)
1136,Monty Python and the Holy Grail (1975)
1193,One Flew Over the Cuckoo's Nest (1975)
1196,Star Wars: Episode V - The Empire Strikes Back (1980)
1197,"Princess Bride, The (1987)"
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
1200,Aliens (1986)
1206,"Clockwork Orange, A (1971)"
1210,Star Wars: Episode VI - Return of the Jedi (1983)
1213,Goodfellas (1990)
1214,Alien (1979)
1221,"Godfather: Part II, The (1974)"
1222,Full Metal Jacket (1987)
1240,"Terminator, The (1984)"
1258,"Shining, The (1980)"
1265,Groundhog Day (1993)
1270,Back to the Future (1985)
1291,Indiana Jones and the Last Crusade (1989)
1527,"Fifth Element, The (1997)"
1580,Men in Black (a.k.a. MIB) (1997)
1682,"Truman Show, The (1998)"
1704,Good Will Hunting (1997)
1721,Titanic (1997)
1732,"Big Lebowski, The (1998)"
1961,Rain Man (1988)
2028,Saving Private Ryan (1998)
2329,American History X (1998)
2571,"Matrix, The (1999)"
2628,Star Wars: Episode I - The Phantom Menace (1999)
2716,Ghostbusters (a.k.a. Ghost Busters) (1984)
2762,"Sixth Sense, The (1999)"
2858,American Beauty (1999)
2918,Ferris Bueller's Day Off (1986)
2959,Fight Club (1999)
2997,Being John Malkovich (1999)
3147,"Green Mile, The (1999)"
3578,Gladiator (2000)
3793,X-Men (2000)
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
4226,Memento (2000)
4306,Shrek (2001)
4886,"Monsters, Inc. (2001)"
4963,Ocean's Eleven (2001)
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
4995,"Beautiful Mind, A (2001)"
5349,Spider-Man (2002)
5418,"Bourne Identity, The (2002)"
5445,Minority Report (2002)
5952,"Lord of the Rings: The Two Towers, The (2002)"
5989,Catch Me If You Can (2002)
6377,Finding Nemo (2003)
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
6874,Kill Bill: Vol. 1 (2003)
7153,"Lord of the Rings: The Return of the King, The (2003)"
7361,Eternal Sunshine of the Spotless Mind (2004)
7438,Kill Bill: Vol. 2 (2004)
8961,"Incredibles, The (2004)"
33794,Batman Begins (2005)
58559,"Dark Knight, The (2008)"
